"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J4";"PIN_ARRAY_20X2";1;"Raspberry_Pi_2_3";;;
2;"C1,C2,C5,C6,C7,C11,C14";"C_0805_HandSoldering";7;"100nF";;;
3;"C3,C4";"C_0805_HandSoldering";2;"360pF";;;
4;"C8,C10";"C_0805_HandSoldering";2;"390pF";;;
5;"C9";"C_0805_HandSoldering";1;"120pF";;;
6;"C12";"CP_Tantalum_Case-C_EIA-6032-28_Hand";1;"47uF 16V";;;
7;"C13,C15";"C_0805_HandSoldering";2;"4.7uF 16V";;;
8;"D1,D2";"LED_0805_HandSoldering";2;"LED";;;
9;"J3";"TerminalBlock_Philmore_TB133_03x5mm_Straight";1;"Conn_01x03";;;
10;"K1,K2";"SC-70-6";2;"MASWSS0115";;;
11;"L1,L3";"L_0805_HandSoldering";2;"330nH";;;
12;"L2";"L_0805_HandSoldering";1;"1.1uH";;;
13;"L4";"L_0805_HandSoldering";1;"10uH";;;
14;"L5,L6";"L_0805_HandSoldering";2;"360nH";;;
15;"R1,R2,R4,R6";"R_0805_HandSoldering";4;"250";;;
16;"R3,R5";"R_0805_HandSoldering";2;"1k2";;;
17;"T1";"SM22";1;"MABA-009180-500MHz_1P_1S";;;
18;"H1,H2,H3,H4";"MountingHole_3.2mm_M3";4;"Conn_01x01";;;
19;"Q1,Q2";"SOT-23";2;"BC847";;;
20;"U1";"TO-220_Horizontal";1;"L7812";;;
21;"J1,J2";"SMA_Edge";2;"Conn_Coaxial";;;
22;"REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3";4;"MountingHole_3.2mm_M3";;;
